Player,Goals,Team
Lionel Messi,6,Argentina
Vinicius Junior,4,Brazil
Kylian Mbappé,4,France
Erling Haaland,4,Norway
Ousmane Dembélé,4,France
Ismael Saibari,3,Morocco
Kai Havertz,3,Germany
Deniz Undav,3,Germany
Elijah Just,3,New Zealand
Yoane Wissa,3,DR Congo
Harry Kane,3,England
Johan Manzambi,3,Switzerland
Jonathan David,3,Canada
Matheus Cunha,3,Brazil
Brian Brobbey,3,Netherlands
Cody Gakpo,3,Netherlands
Ismaïla Sarr,3,Senegal
Julián Quiñones,2,Mexico
Cyle Larin,2,Canada
Folarin Balogun,2,USA
Crysencio Summerville,2,Netherlands
Daichi Kamada,2,Japan
Yasin Ayari,2,Sweden
Maximiliano Araújo,2,Uruguay
Ramin Rezaeian,2,Iran
Marko Arnautovic,2,Austria
Jude Bellingham,2,England
Daniel Muñoz,2,Colombia
Ruben Vargas,2,Switzerland
Ermin Mahmic,2,Bosnia & Herz.
Anthony Elanga,2,Sweden
Ayase Ueda,2,Japan
Mikel Oyarzabal,2,Spain
Cristiano Ronaldo,2,Portugal
Nicolas Pépé,2,Ivory Coast
Pape Gueye,2,Senegal
Leandro Trossard,2,Belgium
Riyad Mahrez,2,Algeria
Raúl Jiménez,1,Mexico
Ladislav Krejčí,1,Czechia
In-beom Hwang,1,South Korea
Hyun-Gyu Oh,1,South Korea
Jovo Lukić,1,Bosnia & Herz.
Mauricio,1,Paraguay
Gio Reyna,1,USA
Breel Embolo,1,Switzerland
Boualem Khoukhi,1,Qatar
John McGinn,1,Scotland
Nestor Irankunda,1,Australia
Connor Metcalfe,1,Australia
